dwd_ord_bike_ride_info_openlock_time,dwd_ord_bike_ride_info_ride_time,dwd_ord_bike_ride_info_no_discount_cost,dwd_ord_bike_ride_info_discount_type,dwd_ord_bike_ride_info_ride_distance,dwd_ord_bike_ride_info_is_in_insurance,dwd_ord_bike_ride_info_create_channel,dwd_ord_bike_ride_info_end_channel,dwd_ord_bike_ride_info_account_type,dwd_ord_bike_ride_info_system_code,dwd_ord_bike_ride_info_lock_out_service_area,dwd_ord_bike_ride_info_out_of_sa_penalty,dwd_ord_bike_ride_info_penalty_operate_money,dwd_ord_bike_ride_info_in_forbidden_penalty,dwd_ord_bike_ride_info_in_forbidden_creditscore,dwd_ord_bike_ride_info_in_forbidden_operate_money,dwd_ord_bike_ride_info_open_lock_error_type,dwd_ord_bike_ride_info_in_forbidden_type,dwd_ord_bike_ride_info_ride_status,dwd_ord_bike_ride_info_start_type,dwd_ord_bike_ride_info_end_type,dwd_ord_bike_ride_info_start_over_region,dwd_ord_bike_ride_info_end_over_region,dwd_ord_bike_ride_info_start_over_bigregion,dwd_ord_bike_ride_info_end_over_bigregion,dwd_ord_bike_ride_info_pay_status,lable
506,240,16,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,1,1
1646,175,12,-1,20990,1,0,1,0,65,0,-1,9,-1,-1,1,-10,0,1,1,1,1,1,1,1,2,1
16668,212,12,5,1161,1,0,1,0,62,0,-1,9,-1,-1,1,52,0,2,1,1,1,1,1,1,2,1
1328,240,12,5,11773,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
1898,147,7.5,5,17538,1,0,3,0,65,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
3496,153,11.5,5,18260,1,0,1,0,65,0,-1,9,-1,-1,1,-10,0,1,1,1,1,1,1,1,2,1
492,52,3,5,735,1,0,3,0,62,0,-1,9,0,-1,2,-10,2,2,1,0,1,1,1,1,2,1
1153,148,7.5,5,17656,1,0,1,0,65,0,-1,9,-1,-1,1,-10,0,1,1,1,1,1,1,1,2,1
852,240,12,5,1531,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
18556,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,52,0,1,1,0,1,1,1,1,1,1
1996,240,16.5,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
317,240,16.5,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,52,0,1,1,0,1,1,1,1,0,1
725,199,14.5,5,6340,1,0,1,0,65,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
1527,207,14,5,24824,1,0,1,0,62,0,-1,9,-1,-1,1,-10,0,1,1,1,1,1,1,1,2,1
1959,188,10.5,5,22516,1,0,1,0,62,0,-1,9,-1,-1,1,-10,0,2,1,1,1,1,1,1,2,1
21064,3,1.5,-1,294,1,0,5,0,65,0,-1,9,-1,-1,1,1,0,2,1,0,1,1,1,1,1,1
12358,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,1,0,1,1,0,1,1,1,1,2,1
1939,240,16,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
1152,240,12,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
818,240,12,5,2563,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
1363,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,1,1
2856,240,16.5,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,5,1,1,1,1,0,1
2862,240,16.5,5,28800,1,3,4,0,61,0,-1,9,-1,-1,1,-10,0,2,3,3,1,1,1,1,2,1
1378,136,7.5,5,16238,1,0,1,0,65,1,-1,9,-1,-1,1,-10,0,1,1,1,1,1,1,1,2,1
3167,240,16,5,941,1,3,4,0,62,0,-1,9,-1,-1,1,-10,0,2,3,3,1,1,1,1,1,1
1914,75,4.5,5,8932,1,0,3,0,65,1,0,20,-1,-1,1,-10,3,1,1,0,1,0,1,0,1,1
1131,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,1,1
1126,168,9,12,2223,1,0,3,0,61,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
1959,240,12,-1,28800,1,3,4,0,65,0,-1,9,-1,-1,1,-10,0,1,3,0,1,1,1,1,1,1
1905,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
1296,13,1.5,-1,1446,1,0,3,0,61,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
24188,129,7.5,5,15458,1,3,1,0,65,0,-1,9,-1,-1,1,-10,0,1,1,1,1,1,1,1,2,1
18397,240,12,5,28800,1,0,4,0,61,0,-1,9,-1,-1,1,52,0,1,1,0,1,1,1,1,0,1
2802,3,1,-1,326,1,0,5,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
2151,240,16,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
2047,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
1773,240,12,-1,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
2834,240,16,5,8114,1,3,4,0,61,0,-1,9,-1,-1,1,-10,0,2,3,0,1,1,1,1,2,1
25505,166,9,5,1071,1,0,3,0,62,0,-1,9,-1,-1,1,52,0,2,1,0,1,1,1,1,2,1
978,240,16.5,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
997,240,12,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
17594,240,16.5,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,52,0,2,1,0,1,1,1,1,2,1
2404,240,16,5,1229,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
3654,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
942,229,12,5,4985,1,0,3,0,65,1,-1,9,-1,-1,1,-10,0,2,1,3,1,1,1,1,2,1
21537,240,16,5,28800,1,3,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,1,1
1772,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,1,1
2253,240,16,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
741,15,1.5,5,1800,1,0,2,0,65,0,-1,9,0,-1,2,-10,2,2,1,0,1,1,1,1,2,1
3852,993,20,-1,119088,1,0,3,0,65,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,1,1
2172,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
855,240,16.5,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
65139,118,8.5,-1,510,1,0,3,0,65,0,-1,9,-1,-1,1,52,0,2,1,0,1,1,1,1,2,1
2523,240,12,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
15799,240,12,5,28800,1,0,4,0,61,0,-1,9,-1,-1,1,52,0,1,1,0,1,1,1,1,1,1
1131,240,16.5,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
1475,127,9,5,15200,1,0,1,0,62,0,-1,9,-1,-1,1,-10,0,2,1,1,1,1,1,1,2,1
1404,240,12,12,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
1498,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
724,240,12,-1,28800,1,0,4,0,61,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
1874,211,12,5,25316,1,0,1,0,65,0,-1,9,-1,-1,1,-10,0,1,1,1,1,1,1,1,1,1
20241,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,1,0,1,1,0,1,1,1,1,2,1
972,240,12,5,28800,1,1,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
1989,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
1634,240,16,-1,28800,1,3,4,0,65,0,-1,9,-1,-1,1,-10,0,1,3,0,1,1,1,1,1,1
11406,20,1.5,-1,2356,1,0,1,0,65,0,-1,9,-1,-1,1,1,0,1,1,0,1,1,1,1,1,1
657,240,16,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
996,175,9,-1,20964,1,0,3,0,65,0,-1,9,-1,-1,1,-10,0,2,1,3,1,1,1,1,1,1
5857,240,16,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
1514,240,16.5,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
1544,191,13,5,22814,1,0,1,0,62,0,-1,9,-1,-1,1,-10,0,2,1,1,1,1,1,1,2,1
1728,240,16,5,2091,1,0,4,0,62,1,-1,9,-1,-1,1,-10,3,2,1,0,1,0,1,0,2,1
1265,240,16.5,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
92,240,12,5,28800,1,0,4,0,65,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,2,1
1843,240,16,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,0,1
1786,124,9.5,5,2940,1,0,3,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
655,240,16,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,2,1
1289,240,16,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,1,1,0,1,1,1,1,1,1
2298,234,16,5,28074,1,0,1,0,65,0,-1,9,-1,-1,1,-10,0,1,1,1,1,1,1,1,0,1
2246,240,12,5,28800,1,0,4,0,62,0,-1,9,-1,-1,1,-10,0,2,1,0,1,1,1,1,1,1
