,dwd_ord_bike_ride_info_openlock_time,dwd_ord_bike_ride_info_ride_time,dwd_ord_bike_ride_info_no_discount_cost,dwd_ord_bike_ride_info_discount_type,dwd_ord_bike_ride_info_ride_distance,dwd_ord_bike_ride_info_is_in_insurance,dwd_ord_bike_ride_info_create_channel,dwd_ord_bike_ride_info_end_channel,dwd_ord_bike_ride_info_account_type,dwd_ord_bike_ride_info_system_code,dwd_ord_bike_ride_info_lock_out_service_area,dwd_ord_bike_ride_info_out_of_sa_penalty,dwd_ord_bike_ride_info_penalty_operate_money,dwd_ord_bike_ride_info_in_forbidden_penalty,dwd_ord_bike_ride_info_in_forbidden_creditscore,dwd_ord_bike_ride_info_in_forbidden_operate_money,dwd_ord_bike_ride_info_open_lock_error_type,dwd_ord_bike_ride_info_in_forbidden_type,dwd_ord_bike_ride_info_ride_status,dwd_ord_bike_ride_info_start_type,dwd_ord_bike_ride_info_end_type,dwd_ord_bike_ride_info_start_over_region,dwd_ord_bike_ride_info_end_over_region,dwd_ord_bike_ride_info_start_over_bigregion,dwd_ord_bike_ride_info_end_over_bigregion,dwd_ord_bike_ride_info_pay_status
0,1197.0,64.0,4.5,5.0,7624.0,1.0,0.0,3.0,0.0,65.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1,1185.0,41.0,3.0,5.0,4892.0,1.0,0.0,3.0,0.0,65.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2,1014.0,73.0,4.5,5.0,8646.0,1.0,0.0,3.0,0.0,65.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
3,59.0,5.0,1.5,5.0,496.0,1.0,2.0,3.0,0.0,65.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0
4,1192.0,1.0,1.5,10.0,102.0,1.0,0.0,3.0,0.0,65.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
5,1599.0,26.0,1.5,5.0,3094.0,1.0,0.0,3.0,0.0,62.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
6,1193.0,10.0,1.5,5.0,1200.0,1.0,0.0,5.0,0.0,65.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
7,2503.0,1.0,1.5,10.0,8.0,1.0,0.0,3.0,0.0,65.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
8,186.0,2.0,1.5,10.0,152.0,1.0,0.0,3.0,0.0,65.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
9,1092.0,2.0,1.0,10.0,124.0,1.0,0.0,3.0,0.0,65.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10,1679.0,13.0,1.0,5.0,1488.0,1.0,0.0,3.0,0.0,62.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
11,16039.0,101.0,7.0,5.0,738.0,1.0,0.0,3.0,0.0,62.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
12,66.0,1.0,1.5,10.0,2.0,1.0,2.0,3.0,0.0,65.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,1.0,-1.0,5.0,1.0,1.0,1.0,1.0,1.0
13,5388.0,4.0,1.5,5.0,396.0,1.0,0.0,3.0,0.0,62.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
14,1741.0,5.0,1.5,5.0,596.0,1.0,0.0,3.0,0.0,62.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
15,1192.0,7.0,1.0,5.0,814.0,1.0,0.0,3.0,0.0,62.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16,2999.0,14.0,1.5,5.0,1658.0,1.0,0.0,3.0,0.0,62.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
17,2967.0,10.0,1.5,5.0,1200.0,1.0,0.0,3.0,0.0,65.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
18,885.0,9.0,1.5,5.0,970.0,1.0,0.0,1.0,0.0,65.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
19,6883.0,6.0,1.0,-1.0,819.0,1.0,3.0,3.0,0.0,62.0,0.0,-1.0,19.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
