,dwd_ord_bike_ride_info_openlock_time,dwd_ord_bike_ride_info_ride_time,dwd_ord_bike_ride_info_no_discount_cost,dwd_ord_bike_ride_info_discount_type,dwd_ord_bike_ride_info_ride_distance,dwd_ord_bike_ride_info_is_in_insurance,dwd_ord_bike_ride_info_create_channel,dwd_ord_bike_ride_info_end_channel,dwd_ord_bike_ride_info_account_type,dwd_ord_bike_ride_info_system_code,dwd_ord_bike_ride_info_lock_out_service_area,dwd_ord_bike_ride_info_out_of_sa_penalty,dwd_ord_bike_ride_info_penalty_operate_money,dwd_ord_bike_ride_info_in_forbidden_penalty,dwd_ord_bike_ride_info_in_forbidden_creditscore,dwd_ord_bike_ride_info_in_forbidden_operate_money,dwd_ord_bike_ride_info_open_lock_error_type,dwd_ord_bike_ride_info_in_forbidden_type,dwd_ord_bike_ride_info_ride_status,dwd_ord_bike_ride_info_start_type,dwd_ord_bike_ride_info_end_type,dwd_ord_bike_ride_info_start_over_region,dwd_ord_bike_ride_info_end_over_region,dwd_ord_bike_ride_info_start_over_bigregion,dwd_ord_bike_ride_info_end_over_bigregion,dwd_ord_bike_ride_info_pay_status
0,506.0,240.0,16.0,5.0,28800.0,1.0,0.0,4.0,0.0,65.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,-10.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1,1646.0,175.0,12.0,-1.0,20990.0,1.0,0.0,1.0,0.0,65.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,-10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2,16668.0,212.0,12.0,5.0,1161.0,1.0,0.0,1.0,0.0,62.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,52.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
3,1328.0,240.0,12.0,5.0,11773.0,1.0,0.0,4.0,0.0,65.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
4,1898.0,147.0,7.5,5.0,17538.0,1.0,0.0,3.0,0.0,65.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
5,3496.0,153.0,11.5,5.0,18260.0,1.0,0.0,1.0,0.0,65.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,-10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
6,492.0,52.0,3.0,5.0,735.0,1.0,0.0,3.0,0.0,62.0,0.0,-1.0,9.0,0.0,-1.0,2.0,-10.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
7,1153.0,148.0,7.5,5.0,17656.0,1.0,0.0,1.0,0.0,65.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,-10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
8,852.0,240.0,12.0,5.0,1531.0,1.0,0.0,4.0,0.0,62.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
9,18556.0,240.0,12.0,5.0,28800.0,1.0,0.0,4.0,0.0,65.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,52.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10,1996.0,240.0,16.5,5.0,28800.0,1.0,0.0,4.0,0.0,65.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,-10.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
11,317.0,240.0,16.5,5.0,28800.0,1.0,0.0,4.0,0.0,65.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,52.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
12,725.0,199.0,14.5,5.0,6340.0,1.0,0.0,1.0,0.0,65.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
13,1527.0,207.0,14.0,5.0,24824.0,1.0,0.0,1.0,0.0,62.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,-10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
14,1959.0,188.0,10.5,5.0,22516.0,1.0,0.0,1.0,0.0,62.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
15,21064.0,3.0,1.5,-1.0,294.0,1.0,0.0,5.0,0.0,65.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16,12358.0,240.0,12.0,5.0,28800.0,1.0,0.0,4.0,0.0,65.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
17,1939.0,240.0,16.0,5.0,28800.0,1.0,0.0,4.0,0.0,65.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,-10.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
18,1152.0,240.0,12.0,5.0,28800.0,1.0,0.0,4.0,0.0,62.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
19,818.0,240.0,12.0,5.0,2563.0,1.0,0.0,4.0,0.0,62.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,-10.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
20,1363.0,240.0,12.0,5.0,28800.0,1.0,0.0,4.0,0.0,65.0,0.0,-1.0,9.0,-1.0,-1.0,1.0,-10.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
